"Guid","SamplingTime","GXCAI_CAL33","GXCAI_CAL35","GXCAI_CAL37","GXCAI_CAL45","GXCAI_CAL46","PDJAI_CAL10","PDJAI_CAL11","PDJAI_CAL12","PDJAI_CAL7","PDJAI_CAL8","PDJAI_CAL9","PredictJYJAI_CAL5","PredictJYJAI_CAL6","PredictJYJAI_CAL7","TrueJYJAI_CAL5","TrueJYJAI_CAL6","TrueJYJAI_CAL7","TrueDate","TrueInputUserName","TrueIP","Notes"
"32","2023/4/25 21:50:27","18.599","19.657","0.431","288.743","2.475","0.52","0.258","12.454","1.747","6.825","10.925","","","","31.022","1.075","0.762","","","",""
"33","2023/4/25 21:50:50","18.245","19.704","0.49","288.782","2.474","0.52","0.258","12.455","1.729","6.826","10.925","","","","31.056","1.075","0.762","","","",""
"34","2023/4/25 22:00:47","16.773","19.693","0.345","288.733","2.473","0.52","0.259","12.457","1.737","6.826","10.927","","","","31.022","1.075","0.762","","","",""
"35","2023/4/25 22:15:25","41.506","19.698","0.515","288.714","2.476","0.52","0.275","12.454","4.795","6.823","10.921","","","","31.022","1.075","0.762","","","",""
"36","2023/4/25 22:30:10","29.905","19.685","1.51","288.733","2.481","0.52","0.275","12.453","3.354","6.823","10.923","","","","31.022","1.075","0.762","","","",""
"37","2023/4/25 22:45:29","33.085","19.712","1.247","288.635","2.482","0.521","0.275","12.454","2.508","6.818","10.933","","","","31.022","1.075","0.762","","","",""
"38","2023/4/25 23:00:25","18.186","20.563","1.294","288.851","2.479","0.52","0.275","12.456","3.829","6.831","10.927","","","","31.022","1.075","0.762","","","",""
"39","2023/4/25 23:15:12","21.543","20.584","1.391","288.714","2.483","0.708","0.275","12.453","3.421","6.824","10.933","","","","31.022","1.075","0.762","","","",""
"40","2023/4/25 23:30:50","22.78","20.59","1.476","288.714","2.477","0.708","0.275","12.422","2.717","6.806","12.808","","","","31.022","1.075","0.762","","","",""
"41","2023/4/25 23:46:05","10.649","20.586","1.375","288.753","2.559","0.708","0.275","12.432","2.382","6.815","12.788","","","","31.022","1.075","0.762","","","",""
"42","2023/4/26 00:00:25","20.895","20.572","1.434","288.871","2.552","0.707","0.275","12.428","2.179","6.809","12.794","","","","31.022","1.075","0.762","","","",""
"43","2023/4/26 00:15:25","23.015","20.588","1.382","288.772","2.551","0.708","0.295","12.429","2.158","6.806","12.784","","","","31.022","1.075","0.762","","","",""
"44","2023/4/26 00:30:57","11.827","20.606","0.82","288.861","2.55","0.707","0.294","12.425","2.111","6.821","12.802","","","","31.022","1.075","0.762","","","",""
"45","2023/4/26 00:45:21","12.945","20.565","0.771","288.822","2.548","0.708","0.295","12.425","2.152","6.814","12.792","","","","31.022","1.075","0.762","","","",""
"46","2023/4/26 01:01:07","12.416","21.578","0.615","288.812","2.547","0.708","0.295","12.428","2.338","6.823","12.794","","","","31.022","1.075","0.762","","","",""
"47","2023/4/26 01:16:05","17.421","21.683","0.784","288.871","2.557","1.063","0.295","12.425","2.354","6.828","12.796","","","","31.022","1.075","0.762","","","",""
"48","2023/4/26 01:30:54","12.887","21.626","0.886","283.581","2.552","1.063","0.295","13.028","2.303","6.828","11.622","","","","31.094","1.075","0.762","","","",""
"49","2023/4/26 01:45:42","6.586","21.584","0.782","283.59","2.437","1.063","0.295","13.034","2.117","6.842","11.608","","","","31.019","1.075","0.762","","","",""
"50","2023/4/26 02:01:07","10.06","21.581","0.687","283.414","2.427","1.065","0.295","13.032","2.11","6.852","11.608","","","","31.022","1.075","0.759","","","",""
"51","2023/4/26 02:15:21","10.413","21.626","0.81","283.63","2.428","1.063","0.297","13.034","2.047","6.856","11.606","","","","31.113","1.075","0.762","","","",""
"52","2023/4/26 02:30:12","7.528","21.619","0","283.423","2.438","1.064","0.296","13.032","1.957","6.88","11.608","","","","31.022","1.072","0.762","","","",""
"53","2023/4/26 02:45:14","10.472","21.613","0","283.561","2.425","1.064","0.296","13.023","1.99","6.89","11.628","","","","31.022","1.075","0.762","","","",""
"54","2023/4/26 03:00:21","4.996","20.068","0","283.639","2.425","1.063","0.296","13.03","1.685","6.9","11.618","","","","31.022","1.075","0.762","","","",""
"55","2023/4/26 03:15:33","8.411","20.082","0","283.482","2.425","0.68","0.297","13.03","1.673","6.916","11.612","","","","31.022","1.075","0.762","","","",""
"56","2023/4/26 03:30:50","7.469","20.066","0","209.392","2.432","0.681","0.296","12.035","1.606","6.915","12.395","","","","31.022","1.075","0.762","","","",""
"57","2023/4/26 03:45:11","4.053","20.077","0","209.481","2.068","0.679","0.296","12.033","1.559","6.908","12.394","","","","31.022","1.075","0.762","","","",""
"58","2023/4/26 04:00:30","4.171","20.093","0","209.579","2.062","0.68","0.296","12.031","1.652","6.901","12.394","","","","31.019","1.075","0.762","","","",""
"59","2023/4/26 04:15:20","4.171","20.082","0","209.589","2.065","0.681","0.301","12.036","1.644","6.9","12.395","","","","31.113","1.075","0.762","","","",""
"60","2023/4/26 04:30:09","2.993","20.151","1.161","209.579","2.058","0.68","0.302","12.038","1.646","6.906","12.388","","","","31.019","1.075","0.759","","","",""
"61","2023/4/26 04:45:16","5.585","20.112","0.973","209.539","2.061","0.68","0.301","12.041","1.6","6.913","12.397","","","","31.041","1.075","0.762","","","",""
"62","2023/4/26 05:00:58","1.462","16.309","0.726","209.559","2.066","0.68","0.301","12.037","1.581","6.916","12.39","","","","31.056","1.075","0.762","","","",""
"63","2023/4/26 05:15:57","4.466","16.331","1.065","209.53","2.066","0.4","0.301","12.04","1.524","6.933","12.394","","","","31.022","1.075","0.762","","","",""
"64","2023/4/26 05:30:54","1.698","16.295","1.149","132.632","2.066","0.399","0.301","11.32","1.54","6.938","12.303","","","","31.113","1.075","0.762","","","",""
"65","2023/4/26 05:45:18","3.347","16.292","1.083","132.407","1.569","0.399","0.301","11.326","1.415","6.946","12.309","","","","31.019","1.075","0.762","","","",""
"66","2023/4/26 06:00:42","4.819","16.315","0.805","132.505","1.556","0.399","0.301","11.325","1.398","6.966","12.299","","","","31.022","1.075","0.762","","","",""
"67","2023/4/26 06:15:54","0.638","16.343","1.995","132.574","1.562","0.4","0.297","11.325","1.429","6.969","12.295","","","","31.022","1.075","0.762","","","",""
"68","2023/4/26 06:30:35","1.58","16.349","2.166","132.466","1.566","0.399","0.297","11.323","1.395","6.976","12.297","","","","31.022","1.075","0.762","","","",""
"69","2023/4/26 06:45:15","4.878","16.287","2.037","132.495","1.562","0.399","0.297","11.319","1.258","6.988","12.305","","","","31.113","1.075","0.762","","","",""
"70","2023/4/26 07:00:48","0.874","14.204","1.902","132.603","1.563","0.4","0.296","11.319","1.343","7.002","12.313","","","","31.022","1.075","0.762","","","",""
"71","2023/4/26 07:16:05","1.58","14.246","2.014","132.623","1.568","0.175","0.297","11.323","1.299","7.01","12.303","","","","31.022","1.075","0.762","","","",""
"72","2023/4/26 07:30:40","5.113","14.229","2.128","98.802","1.562","0.174","0.297","9.374","1.244","7","10.462","","","","31.022","1.075","0.759","","","",""
"73","2023/4/26 07:45:10","2.64","14.225","1.819","98.988","1.355","0.175","0.297","9.372","1.277","7","10.456","","","","31.022","1.075","0.762","","","",""
"74","2023/4/26 08:00:40","2.464","14.167","1.976","98.802","1.361","0.175","0.297","9.364","1.454","7.007","10.478","","","","31.113","1.075","0.762","","","",""
"75","2023/4/26 08:15:50","2.699","14.215","0.953","98.949","1.35","0.175","0.257","9.374","1.507","7.01","10.466","","","","31.022","1.075","0.762","","","",""
"76","2023/4/26 08:31:04","3.582","14.253","1.053","98.841","1.362","0.175","0.258","9.373","1.542","7.012","10.462","","","","31.022","1.075","0.762","","","",""
"77","2023/4/26 08:45:16","6.35","14.204","0.66","98.968","1.352","0.174","0.258","9.379","1.419","7.02","10.464","","","","31.022","1.075","0.762","","","",""
"78","2023/4/26 09:00:48","10.767","17.118","0.59","98.939","1.348","0.174","0.257","9.374","1.402","7.027","10.464","","","","31.022","1.075","0.762","","","",""
"79","2023/4/26 09:15:16","13.534","17.162","0.83","98.753","1.359","0.11","0.258","9.374","1.519","7.025","10.476","","","","31.022","1.075","0.762","","","",""
"80","2023/4/26 09:30:48","16.125","17.208","0.915","516.009","1.349","0.108","0.258","8.042","1.391","7.027","10.374","","","","31.022","1.075","0.762","","","",""
"81","2023/4/26 09:45:51","17.598","17.173","0.595","515.97","2.491","0.109","0.257","8.046","1.407","7.019","10.364","","","","31.022","1.075","0.762","","","",""
"82","2023/4/26 10:00:43","17.421","17.123","0.499","515.98","2.496","0.109","0.258","8.042","1.483","7.01","10.364","","","","31.022","1.075","0.762","","","",""
"83","2023/4/26 10:15:54","11.414","17.132","3.114","515.931","2.493","0.109","0.233","8.045","1.458","7.004","10.362","","","","31.022","1.075","0.759","","","",""
"84","2023/4/26 10:30:45","18.128","17.15","3.236","515.872","2.495","0.109","0.232","8.039","1.475","7.002","10.376","","","","31.022","1.075","0.762","","","",""
"85","2023/4/26 10:46:08","11.827","17.128","3.11","515.891","2.493","0.109","0.233","8.043","1.403","6.999","10.364","","","","31.022","1.075","0.762","","","",""
"86","2023/4/26 11:01:04","9.118","18.949","3.118","516.019","2.495","0.109","0.232","8.043","1.374","6.98","10.362","","","","31.022","1.075","0.762","","","",""
"87","2023/4/26 11:16:07","12.239","18.976","3.192","515.891","2.505","0.119","0.232","8.045","1.403","6.965","10.364","","","","31.022","1.075","0.762","","","",""
"88","2023/4/26 11:30:59","16.361","19.008","3.222","318.059","2.495","0.118","0.232","7.579","1.389","6.948","9.033","","","","31.022","1.075","0.762","","","",""
"89","2023/4/26 11:45:20","10.413","18.911","3.01","318.01","2.554","0.119","0.233","7.583","1.445","6.933","9.033","","","","31.113","1.075","0.762","","","",""
"90","2023/4/26 12:00:47","19.776","18.911","2.773","317.882","2.562","0.119","0.232","7.582","1.379","6.927","9.031","","","","31.019","1.075","0.762","","","",""
"91","2023/4/26 12:15:36","17.48","19.001","7.164","317.814","2.561","0.119","0.22","7.583","1.465","6.917","9.021","","","","31.022","1.075","0.762","","","",""
"92","2023/4/26 12:30:42","9","18.972","7.101","318.02","2.557","0.118","0.22","7.58","1.409","6.905","9.029","","","","31.022","1.075","0.762","","","",""
"93","2023/4/26 12:46:00","11.297","18.959","6.973","318.02","2.558","0.118","0.22","7.584","1.436","6.895","9.029","","","","31.022","1.075","0.762","","","",""
"94","2023/4/26 13:00:50","10.884","21.671","6.918","317.971","2.556","0.118","0.22","7.578","1.498","6.891","9.033","","","","31.022","1.075","0.762","","","",""
"95","2023/4/26 13:15:43","15.713","21.722","7.1","317.873","2.562","0.268","0.22","7.582","1.456","6.896","9.021","","","","31.019","1.075","0.762","","","",""
"96","2023/4/26 13:30:42","14.477","21.682","7.087","515.852","2.56","0.268","0.22","9.094","1.528","6.889","10.59","","","","31.022","1.075","0.762","","","",""
"97","2023/4/26 13:45:33","6.88","21.653","6.933","516.029","2.391","0.268","0.22","9.096","1.504","6.883","10.582","","","","31.022","1.075","0.762","","","",""
"98","2023/4/26 14:01:06","9.412","21.664","6.878","515.911","2.387","0.269","0.22","9.101","1.592","6.874","10.586","","","","31.022","1.075","0.762","","","",""
"99","2023/4/26 14:15:30","14.948","21.712","6.995","515.911","2.386","0.269","0.217","9.099","1.634","6.869","10.592","","","","31.022","1.075","0.762","","","",""
"100","2023/4/26 14:30:13","9.236","21.708","1.945","515.911","2.4","0.268","0.217","9.1","1.532","6.868","10.592","","","","31.022","1.075","0.762","","","",""
"101","2023/4/26 14:45:22","8.47","21.675","1.82","516.029","2.388","0.268","0.217","9.101","1.666","6.858","10.584","","","","31.113","1.075","0.762","","","",""
"102","2023/4/26 15:00:09","10.06","21.666","1.738","516.039","2.397","0.268","0.217","9.097","1.647","6.854","10.584","","","","31.019","1.075","0.762","","","",""
"103","2023/4/26 15:15:24","14.123","21.648","1.941","515.96","2.386","0.456","0.217","9.099","1.743","6.856","11.74","","","","31.022","1.075","0.762","","","",""
"104","2023/4/26 15:30:24","13.947","21.657","1.78","304.211","2.388","0.455","0.217","9.101","1.739","6.847","11.746","","","","31.113","1.075","0.762","","","",""
"105","2023/4/26 15:46:06","16.538","21.664","1.701","304.113","2.386","0.456","0.217","9.097","1.761","6.853","11.742","","","","31.022","1.075","0.762","","","",""
"106","2023/4/26 16:00:21","18.304","21.64","1.815","304.005","2.388","0.456","0.217","9.099","1.758","6.857","11.746","","","","31.113","1.075","0.762","","","",""
"107","2023/4/26 16:16:06","21.366","21.621","27.797","303.985","2.391","0.456","0.216","9.099","1.714","6.862","11.746","","","","31.019","1.075","0.762","","","",""
"108","2023/4/26 16:30:57","17.774","21.647","27.692","304.221","2.39","0.456","0.217","9.098","1.77","6.856","11.742","","","","31.022","1.075","0.762","","","",""
"109","2023/4/26 16:45:45","10.59","21.629","27.617","304.083","2.392","0.456","0.216","9.098","1.573","6.872","11.73","","","","31.022","1.075","0.762","","","",""
"110","2023/4/26 17:00:29","5.997","21.623","27.638","304.191","2.393","0.455","0.216","9.089","1.58","6.867","11.752","","","","31.022","1.075","0.762","","","",""
"111","2023/4/26 17:15:52","15.065","21.619","27.582","304.073","2.394","0.614","0.217","9.098","1.537","6.874","11.736","","","","31.022","1.075","0.762","","","",""
"112","2023/4/26 17:30:11","10.119","21.66","27.536","304.201","2.386","0.615","0.216","12.25","1.618","6.864","11.591","","","","31.019","1.075","0.762","","","",""
"113","2023/4/26 17:45:42","14.653","21.636","27.53","304.172","2.393","0.615","0.217","12.251","1.571","6.853","11.577","","","","31.022","1.075","0.762","","","",""
"114","2023/4/26 18:00:51","15.36","11.599","27.448","304.211","2.386","0.615","0.217","12.25","1.695","6.845","11.585","","","","31.022","1.075","0.762","","","",""
"115","2023/4/26 18:15:59","16.302","11.569","26.777","304.122","2.392","0.614","0.285","12.25","1.754","6.836","11.581","","","","31.022","1.075","0.762","","","",""
"116","2023/4/26 18:30:53","19.482","11.584","26.828","304.005","2.388","0.615","0.285","12.253","2.289","6.847","11.581","","","","31.034","1.075","0.762","","","",""
"117","2023/4/26 18:45:15","10.354","11.58","26.766","304.211","3.262","0.615","0.285","12.252","2.98","6.839","11.583","","","","31.022","1.075","0.762","","","",""
"118","2023/4/26 19:00:49","14.418","11.594","26.739","304.152","3.268","0.615","0.284","12.248","2.264","6.839","11.583","","","","31.022","1.075","0.762","","","",""
"119","2023/4/26 19:15:41","12.592","11.588","26.715","304.064","3.262","0.569","0.285","12.25","2.08","6.848","11.599","","","","31.022","1.075","0.762","","","",""
"120","2023/4/26 19:30:19","13.24","11.559","26.838","303.985","3.268","0.569","0.284","11.412","1.917","6.854","11.436","","","","31.022","1.075","0.762","","","",""
"121","2023/4/26 19:45:13","6.703","11.582","26.664","304.211","3.261","0.569","0.285","11.41","1.825","6.848","11.43","","","","31.022","1.075","0.762","","","",""
"122","2023/4/26 20:00:40","12.651","6.037","26.805","275.807","3.26","0.568","0.285","11.41","1.809","6.848","11.424","","","","31.022","1.075","0.762","","","",""
"123","2023/4/26 20:15:47","12.887","6.048","24.915","275.807","3.263","0.569","0.297","11.409","1.777","6.85","11.436","","","","31.022","1.078","0.762","","","",""
"124","2023/4/26 20:30:40","14.418","6.016","24.986","275.582","3.265","0.569","0.297","11.413","1.704","6.857","11.428","","","","31.022","1.075","0.762","","","",""
"125","2023/4/26 20:45:23","13.181","6.051","24.938","275.758","3.271","0.569","0.297","11.412","1.698","6.858","11.426","","","","31.022","1.075","0.762","","","",""
"126","2023/4/26 21:00:32","16.184","5.972","25.029","275.66","3.274","0.568","0.297","11.41","1.668","6.856","11.418","","","","31.022","1.075","0.762","","","",""
"127","2023/4/26 21:15:26","12.416","6.038","25.091","275.758","3.28","0.447","0.297","11.407","1.716","6.849","11.43","","","","31.113","1.075","0.762","","","",""
"128","2023/4/26 21:30:52","12.062","6.057","24.957","275.817","3.276","0.447","0.296","10.776","1.709","6.85","11.805","","","","31.022","1.075","0.762","","","",""
"129","2023/4/26 21:45:59","13.475","6.05","25.069","275.807","3.274","0.447","0.297","10.776","1.718","6.846","11.809","","","","31.022","1.075","0.762","","","",""
"130","2023/4/26 22:00:20","12.062","7.005","25.04","288.92","3.273","0.446","0.297","10.777","1.672","6.838","11.793","","","","31.022","1.075","0.762","","","",""
"131","2023/4/26 22:15:53","13.299","7.025","25.611","288.861","3.271","0.446","0.278","10.777","1.709","6.83","11.801","","","","31.022","1.075","0.762","","","",""
"132","2023/4/26 22:30:39","12.592","7.065","25.571","289.106","3.276","0.447","0.278","10.776","1.736","6.833","11.803","","","","31.022","1.075","0.762","","","",""
"133","2023/4/26 22:46:05","6.468","7.006","25.602","288.959","3.331","0.447","0.278","10.775","1.823","6.824","11.807","","","","30.031","1.075","0.762","","","",""
"134","2023/4/26 23:00:17","7.292","6.993","25.576","289.037","3.329","0.447","0.278","10.779","1.817","6.824","11.809","","","","28.034","1.075","0.762","","","",""
"135","2023/4/26 23:16:03","6.115","7.041","25.584","289.028","3.328","0.55","0.278","10.774","1.873","6.823","11.807","","","","28.034","1.075","0.762","","","",""
"136","2023/4/26 23:30:11","12.592","7.004","25.524","288.871","3.324","0.549","0.278","10.621","1.846","6.814","11.241","","","","28.034","1.075","0.762","","","",""
"137","2023/4/26 23:46:04","6.232","7.039","25.689","288.949","3.331","0.551","0.278","10.621","1.927","6.819","11.259","","","","28.038","1.075","0.762","","","",""
"138","2023/4/27 00:00:48","5.702","8.523","25.711","358.004","3.327","0.551","0.278","10.627","1.903","6.825","11.243","","","","27.944","1.075","0.762","","","",""
"139","2023/4/27 00:15:13","8.411","8.472","25.713","357.838","3.329","0.549","0","10.623","2.454","6.83","11.241","","","","28.034","1.075","0.762","","","",""
"140","2023/4/27 00:30:32","6.703","8.478","27.728","357.965","3.323","0.549","0","10.621","2.485","6.831","11.241","","","","28.034","1.075","0.762","","","",""
"141","2023/4/27 00:45:46","7.292","8.506","27.803","357.838","3.779","0.55","0","10.617","2.316","6.824","11.251","","","","28.034","1.075","0.762","","","",""
"142","2023/4/27 01:00:35","6.821","8.509","27.808","357.896","3.773","0.55","0","10.621","2.071","6.815","11.241","","","","28.034","1.075","0.762","","","",""
"143","2023/4/27 01:16:06","6.703","8.458","27.823","357.896","3.771","0.737","0","10.615","2.053","6.815","11.241","","","","28.034","1.075","0.762","","","",""
"144","2023/4/27 01:30:30","6.703","8.484","27.748","357.887","3.774","0.737","0","10.776","2.019","6.814","12.617","","","","28.034","1.075","0.762","","","",""
"145","2023/4/27 01:45:10","5.526","8.528","27.756","357.965","3.774","0.737","0","10.774","1.988","6.814","12.613","","","","28.034","1.075","0.762","","","",""
"146","2023/4/27 02:00:24","4.407","4.388","27.724","260.781","3.776","0.737","0","10.772","1.913","6.829","12.627","","","","28.034","1.075","0.762","","","",""
"147","2023/4/27 02:15:12","1.757","4.366","27.832","260.889","3.782","0.737","0.3","10.776","1.866","6.837","12.611","","","","28.034","1.075","0.762","","","",""
"148","2023/4/27 02:30:18","1.875","4.355","23.235","260.997","3.777","0.737","0.3","10.775","1.815","6.839","12.609","","","","28.019","1.078","0.762","","","",""
"149","2023/4/27 02:46:00","4.348","4.403","23.249","260.762","2.778","0.738","0.3","10.776","1.841","6.858","12.613","","","","28.034","1.078","0.762","","","",""
"150","2023/4/27 03:00:15","3.052","4.384","23.335","260.771","2.778","0.737","0.299","10.778","1.783","6.869","12.613","","","","28.034","1.075","0.762","","","",""
"151","2023/4/27 03:15:41","3.229","4.389","23.327","260.781","2.781","0.559","0.299","10.774","1.77","6.881","12.617","","","","27.944","1.078","0.762","","","",""
"152","2023/4/27 03:30:52","4.583","4.379","23.204","260.801","2.776","0.559","0.3","10.481","1.82","6.882","11.865","","","","28.034","1.078","0.762","","","",""
"153","2023/4/27 03:45:41","4.289","4.373","23.315","260.791","2.778","0.559","0.299","10.481","1.884","6.901","11.864","","","","28.034","1.078","0.762","","","",""
"154","2023/4/27 04:00:36","2.346","2.146","23.331","210.06","2.781","0.559","0.299","10.479","1.829","6.897","11.873","","","","27.944","1.075","0.762","","","",""
"155","2023/4/27 04:16:00","4.348","2.083","17.588","210.04","2.777","0.559","0.288","10.481","1.848","6.899","11.873","","","","28.016","1.078","0.762","","","",""
"156","2023/4/27 04:30:53","2.287","2.162","17.596","210.236","2.773","0.559","0.288","10.483","1.726","6.904","11.865","","","","27.962","1.078","0.762","","","",""
"157","2023/4/27 04:46:08","3.759","2.116","17.61","210.03","2.272","0.559","0.288","10.485","1.562","6.909","11.864","","","","28.034","1.078","0.762","","","",""
"158","2023/4/27 05:00:17","3.111","2.124","17.484","210.197","2.274","0.559","0.288","10.483","1.606","6.91","11.865","","","","28.034","1.075","0.762","","","",""
"159","2023/4/27 05:15:30","2.758","2.104","17.642","210.02","2.277","0.212","0.288","10.478","1.566","6.905","11.86","","","","28.034","1.075","0.762","","","",""
"160","2023/4/27 05:30:33","0.285","2.138","17.579","210.138","2.282","0.212","0.288","9.12","1.66","6.9","10.087","","","","28.034","1.075","0.762","","","",""
"161","2023/4/27 05:45:22","3.229","2.127","17.641","210.02","2.276","0.212","0.288","9.117","1.599","6.921","10.089","","","","28.034","1.075","0.762","","","",""
"162","2023/4/27 06:00:32","0.815","0.686","17.641","125.605","2.28","0.213","0.288","9.114","1.638","6.929","10.099","","","","28.034","1.075","0.762","","","",""
"163","2023/4/27 06:15:38","3.523","0.66","16.117","125.703","2.27","0.213","0.265","9.12","1.514","6.947","10.099","","","","28.034","1.075","0.762","","","",""
"164","2023/4/27 06:30:59","4.112","0.715","16.139","125.586","2.271","0.212","0.265","9.124","1.45","6.956","10.089","","","","28.034","1.075","0.762","","","",""
"165","2023/4/27 06:45:39","1.345","0.695","16.077","125.576","1.949","0.213","0.265","9.123","1.523","6.959","10.081","","","","27.944","1.075","0.762","","","",""
"166","2023/4/27 07:00:59","1.109","0.66","16.107","125.762","1.942","0.212","0.265","9.126","1.447","6.977","10.081","","","","27.944","1.078","0.762","","","",""
"167","2023/4/27 07:15:44","3.406","0.645","16.12","125.694","1.946","0.147","0.265","9.118","1.394","6.978","10.101","","","","28.034","1.075","0.762","","","",""
"168","2023/4/27 07:30:22","0","0.656","16.063","125.703","1.944","0.148","0.265","7.189","1.454","6.99","10.904","","","","28.034","1.075","0.762","","","",""
